borough,deprivation_score,income_score,employment_score,health_score,education_score,crime_score_dep,environment_score,total_crime_count
Barking and Dagenham,32.883472727272725,0.19421818181818182,0.11896363636363637,0.22341818181818182,25.84250909090909,0.5377090909090909,28.92366363636364,40768
Barnet,15.953625592417062,0.10918483412322275,0.07197156398104265,-1.08642654028436,7.7362606635071085,0.07864928909952608,24.320184834123225,58137
Bexley,15.88236301369863,0.10224657534246576,0.07491095890410958,-0.5743424657534246,18.281684931506852,-0.14677397260273972,19.6786301369863,32517
Brent,25.19985549132948,0.15402312138728325,0.09657803468208091,-0.45933526011560694,14.797491329479769,0.42131791907514454,28.43498265895954,66033
Bromley,13.969446700507616,0.08971065989847715,0.0663248730964467,-0.9104670050761421,10.511751269035534,-0.04169543147208122,18.186294416243655,48746
Camden,19.981052631578947,0.13997744360902256,0.09160150375939849,-0.570203007518797,10.402774436090226,0.32133834586466165,33.28724060150376,82825
Croydon,21.957304545454544,0.13383636363636364,0.09017727272727272,-0.18925,15.444868181818181,0.2513,25.29481818181818,70156
Ealing,22.55273979591837,0.13998979591836735,0.09203571428571429,-0.32933163265306126,12.270423469387756,0.23458163265306123,30.216602040816326,64879
Enfield,25.403448087431695,0.168,0.1015136612021858,-0.5437923497267759,19.878934426229506,0.18895628415300547,27.238885245901642,59641
Greenwich,24.27517880794702,0.15654966887417218,0.10303973509933774,-0.02839072847682119,15.446860927152319,0.469794701986755,24.677225165562913,56341
Hackney,32.868201388888885,0.1984513888888889,0.11899305555555556,0.3936041666666667,15.137465277777778,0.6287222222222222,35.49564583333333,66271
Hammersmith and Fulham,22.32622123893805,0.14230088495575222,0.09550442477876106,-0.04784070796460177,8.119805309734513,0.35216814159292037,35.063433628318585,43050
Haringey,27.587200000000003,0.1682896551724138,0.10646206896551724,-0.13529655172413793,17.059593103448275,0.7164620689655172,34.15267586206897,57564
Harrow,14.860883211678832,0.10748905109489051,0.06607299270072993,-1.042875912408759,8.100941605839417,-0.15634306569343065,18.734080291970802,33991
Havering,16.35052,0.10468,0.07611333333333334,-0.55384,22.33428,0.10280666666666666,16.55386,39471
Hillingdon,17.839329192546586,0.11225465838509317,0.07508074534161491,-0.3888757763975155,16.02716149068323,0.2108695652173913,19.711211180124224,62516
Hounslow,21.371711267605633,0.12852112676056338,0.08020422535211268,-0.27467605633802816,13.431267605633803,0.36388732394366197,29.40974647887324,54231
Islington,27.706040650406504,0.18042276422764228,0.1153739837398374,0.2869349593495935,12.489780487804877,0.6179837398373984,35.13756910569106,63040
Kensington and Chelsea,22.019300970873786,0.12111650485436892,0.08348543689320388,-1.2079805825242718,5.418097087378641,0.34546601941747573,41.96687378640777,44667
Kingston upon Thames,11.303244897959184,0.07807142857142857,0.05401020408163265,-0.9602653061224489,6.990132653061225,-0.34646938775510205,24.278867346938778,23607
Lambeth,25.797247191011234,0.1562696629213483,0.09731460674157302,0.16851123595505618,10.740011235955055,0.5424213483146068,44.063634831460675,77209
Lewisham,26.86936094674556,0.16620118343195267,0.10769230769230768,0.07952071005917159,14.080958579881656,0.39711242603550295,36.22089349112426,60311
Merton,14.34733064516129,0.0982258064516129,0.06337096774193549,-0.6362016129032257,9.003645161290322,-0.06741935483870967,29.127072580645162,27405
Newham,29.771079268292684,0.17152439024390242,0.09641463414634147,-0.010640243902439025,18.050993902439025,0.46626829268292685,31.84605487804878,83071
Redbridge,16.90785093167702,0.11861490683229814,0.07190062111801243,-0.7491055900621117,10.956422360248446,0.2847018633540373,24.993024844720498,49240
Richmond upon Thames,9.423121739130435,0.06398260869565217,0.05052173913043478,-1.3772869565217392,3.4876260869565217,-0.060704347826086955,26.70606956521739,23822
Southwark,26.041289156626508,0.16369277108433733,0.10071084337349398,0.12434939759036144,11.091240963855421,0.4816084337349398,36.0405843373494,81774
Sutton,13.820280991735537,0.09361157024793389,0.06909090909090909,-0.575396694214876,11.827884297520662,-0.18304132231404957,21.069644628099173,26721
Tower Hamlets,27.970458333333333,0.1907222222222222,0.10469444444444445,0.2098611111111111,16.96238888888889,0.5192222222222223,33.23554166666666,75101
Waltham Forest,25.136930555555555,0.15169444444444447,0.09491666666666666,-0.16199305555555557,16.974020833333334,0.4085277777777778,34.035895833333335,48515
Wandsworth,16.420262569832403,0.10506145251396648,0.06416759776536313,-0.4036033519553073,6.428860335195531,0.11750837988826815,32.678581005586594,53426
Westminster,20.33184375,0.1335546875,0.0909375,-0.8354453125,8.3206328125,0.124828125,41.11934375,166740
